,audio,transcription,speaker
0,common_voice_en_637272.mp3,"Adult male voice with some kind of accent, there is wind noises in the background which lowers the audio quality and makes it harder to understand the speaker.",de67da659a350c57ae157c412cff46e2bd0fa9f06973037d9a86004c2f03bc774676b87b05db158606f1e6cbbcdf2e1f8397cef642bc8be2e0f0cc0c1d1074a8
1,common_voice_en_18507286.mp3,"male teenager, nasal voice, a bit hard to understand, unclear pronounciation, ",65e66d234c1b684151e08365a5b1e5af5bb8a35f5a70f5b8bb359013bdd774a3199cdfc925bc028fd4c1dfcbd268567e818515ecd421bd5ed741b99cdc5c5449
2,common_voice_en_22708327.mp3,"Adult female voice which sounds quite monotone and the speaker sounds bored, there is a slight echo.",1b378991561204c65ad818d46bf5bf072cbc136f23f33b09cea80351df0bdc2a6307bfe2b63e49a6dd6cd85e67bcca7a470bc3b5feeb12b3f09ecb937ecd3d7c
3,common_voice_en_28569683.mp3,"Young female voice which is a bit nasal, pronounciation is pretty clear maybe a tiny bit mumbled, quite flat and uninteresting.",21467de382fa72d8c285a4794e669207687468d2551619dd8a8186d7108c6f7bfbbfb32290644cdb96df647e7345400518c8aaa88f2ad00e1277085b3dd6a9bd
4,common_voice_en_20174323.mp3,"Brittish accent, young female voice, formal, clear and easy to understand pronounciation even though harder words are used, there is a slight humming noise in the background.",344bf332f298134d3880f9e38710e4c7e7037157bd63a3f5334f3c0d627ff61645ffff180419eb666587109a9a7638148728a3c5765f76296fd68c957088b428
5,common_voice_en_26979259.mp3,"Indian male voice, adult, emotionless and monotone, slow speech with pauses.",e7432c0eecec54d72ff3a0a97025a2a390c7208dfe99520a3876d83276c2439a208bf8528bec528df7ee930ec3ccbb92dd5a03d7f5b95cd0579fb5ec2c3f0813
6,p284_405_mic1.flac,"Very clear adult male voice, speech is on the faster side but the pronounciation remains clear and convincing, the message put out is clear and well understood.",p284
7,p306_283_mic1.flac,"Low young female voice, hard to understand, mumbled pronounciation, slow speech, almost sleepy.",p306
8,common_voice_en_155965.mp3,"Adult female with an accent, very hard to understand, unclear pronounciation.",d413dc78613792a227771b7279779c0c56347fbe4b6eb2440ea7c4ade8e55703af8a5fbce5236292d8fbbe3d631a67d1e9497f3c402082d391adf67f1ee996a9
9,common_voice_en_19499555.mp3,Foreign young male adult talking slowly and trying to pronounce as clearly as possible because there is background noise of other people talking.,4e215358b95f44df56dd0d8be320d70ed397c0ca6b4b5a5cb469de772a61b996483df577116a4534415aff3c5005516bdc49e17b681a9a26ca185d97148c7c45
10,common_voice_en_656614.mp3,"Unclear if the voice belongs to a male or a female, the pronounciation is unclear which makes it hard to understand what they are saying, possible accent.",9132f89e275eabaf44f7f3c03ffbacc95e62d9cbac610efdabf4d4c62621fe897e0d131b33c9756083f06354e37e8c2520a3bd393d92b38a0d693285fd44d7ab
11,common_voice_en_24153495.mp3,"flat monotone male voice, young adult, unclear pronoounciation, hard to understand, pause in speech",256bb234e19a37a279d031eb72e6d2c83d95826821858bb8cb17bc23eb1a4f76e70dfbd3bb2e214ea82a47bc5ddac7d37a57bbe9cd8027ade0c619ff12b3aeeb
12,common_voice_en_25670779.mp3,"serious voice, older male, hard to undertand, bad audio quality",dc9d598acc01d258f8382483a7f243f3191fe62584482afc6c336ac4b706e42f8184886d26d5d44407814dd81be1d3a95279ccb80cfc97d02f35e028e7d54a55
13,common_voice_en_61504.mp3,"Foreign young female voice, speech is fast and clear, maybe a tiny bit hard to understand a few words, quite lively.",a457d6cd2e9be32ba26c13d9dda4e24950d858bdff83266976cd7187e17de1a88336d870d1df3c97f59153cff235e9242ffd6d7fc6386aa21e37f987bf4abce6
14,common_voice_en_18696253.mp3,"Adult female voice, voice is clear, easy to understand and words are pronounced very accurately and mindfully which makes the speech a bit slow.",18ae3b317f15a738e98fc195f953e7f975a9f2ec9bd739e3cdf054c7bafdded24be9b549f9fffa5cc1a9446ae31619cfbd832c74597b9e1e5bc97cef15cc5081
15,common_voice_en_20598558.mp3,"deep male voice, elderly, English, very clear pronounciation, serious",1555c6dd360ca738be5e4715209164b3c66109979780456eab4d753ade40e7a083f02e6246996dd5241002855994049050b3eba1c23812ca2c46f3470ace765e
16,common_voice_en_26950821.mp3,"Deep male voice, adult, slow speech with pauses, very monotone and rehearsed, clear pronounciation, formal speech.",16ca33c77a4ff48f931fe63a9986938db81dc24e4be8ebbd4d9d08620f5c5e75836c691bbfa9fe2b63926c1fa2a8daccdc4983beda162e4b72da5f85ca9b14eb
17,common_voice_en_19638359.mp3,"Young emotionless male voice, slow speech with short pauses, humming in the background and tincan sound.",0d0eff537c5772cbfa20aa94bd8ede8344ae677f51200f7ba9a4b4ec824342a34c649eda05c99baa46c23fe27e458566575c0bc2b5a8d6e45a7a02ced67aa6ba
18,common_voice_en_610679.mp3,"Adult male voice, audio volume is very low, speech itself is quite clear and well pronounced, voice is a bit flat and emotionless.",728978200199d1a9f1fd79a6651865f220bc01eebad6b68001499fca06f23ed9780051891804052223ba4a22bca699da229dfe081c811dc38215179ea5c21987
19,common_voice_en_100929.mp3,Old male flat voice reading off of something because the speech is unnatural and it's a bit hard to understand him because of the audio quality.,1704adb4392245574381dd7066bcb6bb1465a55d3c9299494e67b4618af68eae863c3612a522d2a4a9cfe99c480ee538036d0dfc31c912182f0eb5f6d686417b
20,common_voice_en_25549806.mp3,Adult female  with clam voice and convincing tone,cbeef8398ad6761e668754649df431b1ed0c48fdde55b087452b4f8981f39513e49b83d2cca4c7db91301b533c4d1010291408543fd89abd35271f777fad7906
21,common_voice_en_24683528.mp3,Adult female with British accent and convincing speech,d41f1040b1deb7817ec405888029a9b80e5d9d46200b7f0253140477c12b76fd93ce6a1ed5f7759ff47ca1baf988b8f0f388a96859aea49c6e251a5347c9a6d7
22,common_voice_en_687997.mp3,Adult male with piercing voice and dull speech,0c3266bc03df1de7de5fa01f5ea00c4bbb4dd72ee8979c869a4f747d15b3df8d52c62d39c2a2832e3574fc0d5807104aae5115070955aa881a693ba63e5a85c1
23,common_voice_en_32679130.mp3,Adult male with low pitched voice and emotionlesss voice and convincing speech,36e83aacba5a1e4edbe4d82b3165a8bc963143cc3e1ea09e876242987e9ca5bab7ac3608f68ed860e32e4eda03acdcb9e78f075e7b1676f292cf6ae94da421f9
24,p268_054_mic1.flac,Adult female with low pitched voice and serious confident speech,p268
25,common_voice_en_495439.mp3,Mature male with deep voice and confident speech speaking slowly,9f33b0c4883d8959458bf97f0e389faade1a3ea632826483baedd07ce741e22939e2a8dcaede58392fda9e1f8ddd87272f46d22eba7740db8a008d5df21e894f
26,common_voice_en_20070956.mp3,Adult female with soft voice and convincing speech,344bf332f298134d3880f9e38710e4c7e7037157bd63a3f5334f3c0d627ff61645ffff180419eb666587109a9a7638148728a3c5765f76296fd68c957088b428
27,common_voice_en_17412803.mp3,Adult male with curious voice,4b799abf92c31baa92fca19e06663270ce8c3308fe5042b96a8601530ae4b8983765d0936e7f00606d80e769d31a19fe33a9761260f6ec9d0b90850b9c1ff6c6
28,p246_003_mic1.flac,Adult male with clear pronunciation and confident speech,p246
29,common_voice_en_32111271.mp3,Adult male with emotionless voice and calm speech,4c946f553c704abd727b3818b1d22dba011a368043575278b58ae219f71cb8914e6cac82abe55d7da17f49bea4cceb3b96c17355a6f5b078c19a947defb9061c
30,common_voice_en_60389.mp3,Adult male with confident emotionless voice and convincing speech,16f1e0be2f3709ac3e6497f0770a5bfedd187f31aa01e13b1886d9a4522c21fc42161df98e6c050878ad22f5781db36c5bb071c972254414c05509b2f25e8675
31,common_voice_en_17948028.mp3,young male with Russian accent and high pitched voice with a music on the background,53d10453e39cbe542da9e8b4db2396b35d4bf857d60749422ffa9b580d22ae873b796c24d554d9706588ed6766e89fca3c3422e797f04dde4ffc1bda2ff4196c
32,common_voice_en_102812.mp3,Adult male with confident voice speaking fast,b1fe40516330481f594f34c1f53c34e5ba5faf5734088fa67a09b8548a3174006daae343499fd86b09158159eea55ba36994c07bc330c6ec67ab558f288e3bee
33,common_voice_en_33314356.mp3,Adult male with low pitched and calm voice and dull speech,3094148efad804e723ecab2a957ca062e43339353dd0e85d2a6dec00b3602781b013a8656cf24f53afd488952dcc6edbc8a50bea16e141eca40decbc4b7bd0bc
34,p299_111_mic1.flac,Adult female with sharp and confident voice,p299
35,common_voice_en_28542395.mp3,Adult male with Indian accent and flat voice,73af101c2498ce7a42a64254247e57f4410a55fef81e1ef6e0f6eef708b992d8577770553a4320b9f438661faab576966e678b6520d469bd2784b82343b8ecc3
36,common_voice_en_537684.mp3,Adult male with soft and quiet voice and dull speech,627b2d44840539690025d05fdf026d99849993259d150b72789c12530d262999b26a3d1428d4098daf06371ee868de6720bd8869be368307a24867c267e95b39
37,common_voice_en_23597405.mp3,Mature male with confident sharp voice and convincing speech,d6fe8a45e528dbf5ed36984ef6e8899797e0d6e79b69ed61172cb37f4d895b88accd4902b7bcfb241d7f61a30853230acb3b5f2c42da092961fbfcdd9f1f6aca
38,p284_006_mic1.flac,Adult male with deep charming voice and convincing speech,p284
39,common_voice_en_20062259.mp3,Adult female with sof confident voice and convincing speech,10e6533330a4ed80b8d4576aa1e8dea347cd3a4c843b100f2986d664d097b9e5414b5187e227e8b1c59e876b27248c8aa74a74446f601333fe474d1d67695818
40,common_voice_en_22926207.mp3,Young female with a high pitched shrill voice speaks with unclear pronunciation and an Australian accent,8449194e8b74b81d761d7a3786cdd5d099aff4f33737c7f476edf3435c3eb483ff6d6515d153c7cfb9193821f01a3a0bd6b049740b029acd7b1488df9bd579d8
41,common_voice_en_18639656.mp3,Adult male with unclear pronunciation and nasal weak voice,939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461
42,common_voice_en_19248557.mp3,Adult American male speaks with a smoky voice and is eating something while speaking ,2a623486b86583e03add20da7591078287c8ba1099a92005fd8117101a768138a87a48870fedcb7213ba4e51d012d520a5c75d2b7ddf410f6a4059f420390542
43,p323_171_mic1.flac,Adult female speaks with an excited high energy tone and a cheery powerful voice,p323
44,p234_031_mic1.flac,Young adult female with a British accent speaks with a low pitched appealing smooth voice in a serious tone,p234
45,common_voice_en_73643.mp3,Adult male wih a thin voice,939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461
46,p351_226_mic1.flac,Young adult female with a Scottish accent speaks with an airy voice ,p351
47,common_voice_en_587177.mp3,Adult male with a throaty strangled voice ,5fb18c2345fe5ab8a7433f05dc317d731e89f60a048f325805e0818349c98d4c5c0069412e31c3ea5154ce842a85efef2026dd1d63628fe570b5ff70671f63b7
